广东荔枝,#genre#
广州南国都市,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
东莞新闻综合,http://php.jdshipin.com:8880/0769.php?id=xwzh
东莞生活资讯,http://php.jdshipin.com:8880/0769.php?id=shzx
佛山综合,http://php.jdshipin.com:8880/fstv.php?id=fszh
佛山影视,http://php.jdshipin.com:8880/fstv.php?id=fsys
佛山公共,http://php.jdshipin.com:8880/fstv.php?id=fsgg
佛山南海,http://php.jdshipin.com:8880/fstv.php?id=fsnh
佛山顺德,http://php.jdshipin.com:8880/fstv.php?id=fssd
佛山高明,http://php.jdshipin.com:8880/fstv.php?id=fsgm
佛山三水,http://php.jdshipin.com:8880/fstv.php?id=fsss
肇庆综合,http://php.jdshipin.com:8880/chudian.php?id=zqzh
肇庆公共,http://php.jdshipin.com:8880/chudian.php?id=zqgg
清远综合,http://php.jdshipin.com:8880/chudian.php?id=qyzh
梅州综合,http://php.jdshipin.com:8880/chudian.php?id=mzzh
河源综合,http://php.jdshipin.com:8880/chudian.php?id=hyzh
河源公共,http://php.jdshipin.com:8880/chudian.php?id=hygg

广州综合,http://php.jdshipin.com:8880/iptv.php?id=gzzh

央视频道,#genre#
CCTV1,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv1.m3u8
CCTV2,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv2.m3u8
CCTV3,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv3.m3u8
CCTV4,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv4.m3u8
CCTV5,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv5.m3u8
CCTV5+,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv5p.m3u8
CCTV6,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv6.m3u8
CCTV7,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv7.m3u8
CCTV8,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv8.m3u8
CCTV9,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv9.m3u8
CCTV10,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv10.m3u8
CCTV11,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv11.m3u8
CCTV12,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv12.m3u8
CCTV13,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv13.m3u8
CCTV14,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv14.m3u8
CCTV15,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv15.m3u8
CCTV16,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv16.m3u8
CCTV17,http://61.170.80.241/liveali-tpgq.cctv.cn/live/cctv17.m3u8
CCTV-4K超高清,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV-8K超高清,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K36M/playlist.m3u8
CGTN英语,http://119.167.135.229/liveali-tpgq.cctv.cn/live/cgtnen.m3u8
CGTN法语,http://119.167.135.229/liveali-tpgq.cctv.cn/live/cgtnfr.m3u8
CGTN俄语,http://119.167.135.229/liveali-tpgq.cctv.cn/live/cgtnru.m3u8
CGTN阿拉伯语,http://119.167.135.229/liveali-tpgq.cctv.cn/live/cgtnar.m3u8
CGTN西班牙语,http://119.167.135.229/liveali-tpgq.cctv.cn/live/cgtnsp.m3u8
CGTN纪录国际,http://119.167.135.229/liveali-tpgq.cctv.cn/live/cgtndoc.m3u8

卫视频道,#genre#

港澳地区,#genre#
翡翠台,https://edge6a.v2h-cdn.com/jade/jade.stream/chunklist.m3u8
